sector_id,sector_name,description
1,Industry,"Even small fires can paralyse an entire production facility. Technical defects in production facilities, open construction methods and networking of production areas favour rapid fire spread."
2,Energy,"Fire damage in just one section of a power plant is enough to endanger the entire power supply, from leaking lubricating oils to short circuits or turbine overheating."
3,Commerce,"Publicly accessible areas require fire protection ensuring comprehensive personal protection, from short circuits in retail to high fire loads in logistics areas."
4,Infrastructure,"Personal protection has top priority given manifold fire risks, from careless smoking to short circuits of lighting or technical equipment."
